ตำบล,อำเภอ,จังหวัด,สายรถ
เกาะพลับพลา,อำเภอเมืองราชบุรี,ราชบุรี,นอกเขต
หลุมดิน,อำเภอเมืองราชบุรี,ราชบุรี,นอกเขต
บางป่า,อำเภอเมืองราชบุรี,ราชบุรี,นอกเขต
พงสวาย,อำเภอเมืองราชบุรี,ราชบุรี,นอกเขต
คูบัว,อำเภอเมืองราชบุรี,ราชบุรี,นอกเขต
ท่าราบ,อำเภอเมืองราชบุรี,ราชบุรี,นอกเขต
บ้านไร่,อำเภอเมืองราชบุรี,ราชบุรี,นอกเขต
จอมบึง,อำเภอจอมบึง,ราชบุรี,นอกเขต
ปากช่อง,อำเภอจอมบึง,ราชบุรี,นอกเขต
เบิกไพร,อำเภอจอมบึง,ราชบุรี,นอกเขต
ด่านทับตะโก,อำเภอจอมบึง,ราชบุรี,นอกเขต
แก้มอ้น,อำเภอจอมบึง,ราชบุรี,นอกเขต
รางบัว,อำเภอจอมบึง,ราชบุรี,นอกเขต
สวนผึ้ง,อำเภอสวนผึ้ง,ราชบุรี,นอกเขต
ป่าหวาย,อำเภอสวนผึ้ง,ราชบุรี,นอกเขต
ท่าเคย,อำเภอสวนผึ้ง,ราชบุรี,นอกเขต
ตะนาวศรี,อำเภอสวนผึ้ง,ราชบุรี,นอกเขต
ดำเนินสะดวก,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
ประสาทสิทธิ์,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
ศรีสุราษฎร์,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
ตาหลวง,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
ดอนกรวย,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
ดอนคลัง,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
บัวงาม,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
บ้านไร่,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
แพงพวย,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
สี่หมื่น,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
ท่านัด,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
ขุนพิทักษ์,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
ดอนไผ่,อำเภอดำเนินสะดวก,ราชบุรี,นอกเขต
บ้านโป่ง,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
ท่าผา,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
กรับใหญ่,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
ปากแรต,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
หนองกบ,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
หนองอ้อ,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
ดอนกระเบื้อง,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
สวนกล้วย,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
นครชุมน์,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
บ้านม่วง,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
คุ้งพยอม,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
หนองปลาหมอ,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
เขาขลุง,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
เบิกไพร,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
ลาดบัวขาว,อำเภอบ้านโป่ง,ราชบุรี,นอกเขต
บางแพ,อำเภอบางแพ,ราชบุรี,นอกเขต
วังเย็น,อำเภอบางแพ,ราชบุรี,นอกเขต
หัวโพ,อำเภอบางแพ,ราชบุรี,นอกเขต
วัดแก้ว,อำเภอบางแพ,ราชบุรี,นอกเขต
ดอนใหญ่,อำเภอบางแพ,ราชบุรี,นอกเขต
ดอนคา,อำเภอบางแพ,ราชบุรี,นอกเขต
โพหัก,อำเภอบางแพ,ราชบุรี,นอกเขต
โพธาราม,อำเภอโพธาราม,ราชบุรี,นอกเขต
ดอนกระเบื้อง,อำเภอโพธาราม,ราชบุรี,นอกเขต
หนองโพ,อำเภอโพธาราม,ราชบุรี,นอกเขต
บ้านเลือก,อำเภอโพธาราม,ราชบุรี,นอกเขต
คลองตาคต,อำเภอโพธาราม,ราชบุรี,นอกเขต
บ้านฆ้อง,อำเภอโพธาราม,ราชบุรี,นอกเขต
บ้านสิงห์,อำเภอโพธาราม,ราชบุรี,นอกเขต
ดอนทราย,อำเภอโพธาราม,ราชบุรี,นอกเขต
เจ็ดเสมียน,อำเภอโพธาราม,ราชบุรี,นอกเขต
คลองข่อย,อำเภอโพธาราม,ราชบุรี,นอกเขต
ชำแระ,อำเภอโพธาราม,ราชบุรี,นอกเขต
สร้อยฟ้า,อำเภอโพธาราม,ราชบุรี,นอกเขต
ท่าชุมพล,อำเภอโพธาราม,ราชบุรี,นอกเขต
บางโตนด,อำเภอโพธาราม,ราชบุรี,นอกเขต
เตาปูน,อำเภอโพธาราม,ราชบุรี,นอกเขต
นางแก้ว,อำเภอโพธาราม,ราชบุรี,นอกเขต
ธรรมเสน,อำเภอโพธาราม,ราชบุรี,นอกเขต
เขาชะงุ้ม,อำเภอโพธาราม,ราชบุรี,นอกเขต
หนองกวาง,อำเภอโพธาราม,ราชบุรี,นอกเขต
ทุ่งหลวง,อำเภอปากท่อ,ราชบุรี,นอกเขต
วังมะนาว,อำเภอปากท่อ,ราชบุรี,นอกเขต
ดอนทราย,อำเภอปากท่อ,ราชบุรี,นอกเขต
หนองกระทุ่ม,อำเภอปากท่อ,ราชบุรี,นอกเขต
ปากท่อ,อำเภอปากท่อ,ราชบุรี,นอกเขต
ป่าไก่,อำเภอปากท่อ,ราชบุรี,นอกเขต
วัดยางงาม,อำเภอปากท่อ,ราชบุรี,นอกเขต
อ่างหิน,อำเภอปากท่อ,ราชบุรี,นอกเขต
บ่อกระดาน,อำเภอปากท่อ,ราชบุรี,นอกเขต
ยางหัก,อำเภอปากท่อ,ราชบุรี,นอกเขต
วันดาว,อำเภอปากท่อ,ราชบุรี,นอกเขต
ห้วยยางโทน,อำเภอปากท่อ,ราชบุรี,นอกเขต
เกาะศาลพระ,อำเภอวัดเพลง,ราชบุรี,นอกเขต
จอมประทัด,อำเภอวัดเพลง,ราชบุรี,นอกเขต
วัดเพลง,อำเภอวัดเพลง,ราชบุรี,นอกเขต
บ้านคา,อำเภอบ้านคา,ราชบุรี,นอกเขต
บ้านบึง,อำเภอบ้านคา,ราชบุรี,นอกเขต
หนองพันจันทร์,อำเภอบ้านคา,ราชบุรี,นอกเขต
ประตูชัย,อำเภอพระนครศรีอยุธยา,อยุธยา,G
กะมัง,อำเภอพระนครศรีอยุธยา,อยุธยา,G
หอรัตนไชย,อำเภอพระนครศรีอยุธยา,อยุธยา,G
หัวรอ,อำเภอพระนครศรีอยุธยา,อยุธยา,G
ท่าวาสุกรี,อำเภอพระนครศรีอยุธยา,อยุธยา,G
ไผ่ลิง,อำเภอพระนครศรีอยุธยา,อยุธยา,G
ปากกราน,อำเภอพระนครศรีอยุธยา,อยุธยา,F
ภูเขาทอง,อำเภอพระนครศรีอยุธยา,อยุธยา,G
สำเภาล่ม,อำเภอพระนครศรีอยุธยา,อยุธยา,F
สวนพริก,อำเภอพระนครศรีอยุธยา,อยุธยา,G
คลองตะเคียน,อำเภอพระนครศรีอยุธยา,อยุธยา,F
วัดตูม,อำเภอพระนครศรีอยุธยา,อยุธยา,G
หันตรา,อำเภอพระนครศรีอยุธยา,อยุธยา,G
ลุมพลี,อำเภอพระนครศรีอยุธยา,อยุธยา,G
บ้านใหม่,อำเภอพระนครศรีอยุธยา,อยุธยา,F
บ้านเกาะ,อำเภอพระนครศรีอยุธยา,อยุธยา,G
คลองสวนพลู,อำเภอพระนครศรีอยุธยา,อยุธยา,G
คลองสระบัว,อำเภอพระนครศรีอยุธยา,อยุธยา,F
เกาะเรียน,อำเภอพระนครศรีอยุธยา,อยุธยา,G
บ้านป้อม,อำเภอพระนครศรีอยุธยา,อยุธยา,F
บ้านรุน,อำเภอพระนครศรีอยุธยา,อยุธยา,F
ท่าเรือ,อำเภอท่าเรือ,อยุธยา,G
จำปา,อำเภอท่าเรือ,อยุธยา,G
ท่าหลวง,อำเภอท่าเรือ,อยุธยา,G
บ้านร่อม,อำเภอท่าเรือ,อยุธยา,G
ศาลาลอย,อำเภอท่าเรือ,อยุธยา,G
วังแดง,อำเภอท่าเรือ,อยุธยา,G
โพธิ์เอน,อำเภอท่าเรือ,อยุธยา,G
ปากท่า,อำเภอท่าเรือ,อยุธยา,G
หนองขนาก,อำเภอท่าเรือ,อยุธยา,G
ท่าเจ้าสนุก,อำเภอท่าเรือ,อยุธยา,G
นครหลวง,อำเภอนครหลวง,อยุธยา,G
ท่าช้าง,อำเภอนครหลวง,อยุธยา,G
บ่อโพง,อำเภอนครหลวง,อยุธยา,G
บ้านชุ้ง,อำเภอนครหลวง,อยุธยา,G
ปากจั่น,อำเภอนครหลวง,อยุธยา,G
บางระกำ,อำเภอนครหลวง,อยุธยา,G
บางพระครู,อำเภอนครหลวง,อยุธยา,G
แม่ลา,อำเภอนครหลวง,อยุธยา,G
หนองปลิง,อำเภอนครหลวง,อยุธยา,G
คลองสะแก,อำเภอนครหลวง,อยุธยา,G
สามไถ,อำเภอนครหลวง,อยุธยา,G
พระนอน,อำเภอนครหลวง,อยุธยา,G
บางไทร,อำเภอบางไทร,อยุธยา,F
บางพลี,อำเภอบางไทร,อยุธยา,F
สนามชัย,อำเภอบางไทร,อยุธยา,G
บ้านแป้ง,อำเภอบางไทร,อยุธยา,F
หน้าไม้,อำเภอบางไทร,อยุธยา,F
บางยี่โท,อำเภอบางไทร,อยุธยา,F
แคออก,อำเภอบางไทร,อยุธยา,F
แคตก,อำเภอบางไทร,อยุธยา,F
ช่างเหล็ก,อำเภอบางไทร,อยุธยา,F
กระแชง,อำเภอบางไทร,อยุธยา,F
บ้านกลึง,อำเภอบางไทร,อยุธยา,F
ช้างน้อย,อำเภอบางไทร,อยุธยา,F
ห่อหมก,อำเภอบางไทร,อยุธยา,F
ไผ่พระ,อำเภอบางไทร,อยุธยา,F
กกแก้วบูรพา,อำเภอบางไทร,อยุธยา,F
ไม้ตรา,อำเภอบางไทร,อยุธยา,F
บ้านม้า,อำเภอบางไทร,อยุธยา,F
บ้านเกาะ,อำเภอบางไทร,อยุธยา,G
ราชคราม,อำเภอบางไทร,อยุธยา,G
ช้างใหญ่,อำเภอบางไทร,อยุธยา,F
โพแตง,อำเภอบางไทร,อยุธยา,G
เชียงรากน้อย,อำเภอบางไทร,อยุธยา,G
โคกช้าง,อำเภอบางไทร,อยุธยา,F
บางบาล,อำเภอบางบาล,อยุธยา,F
วัดยม,อำเภอบางบาล,อยุธยา,F
ไทรน้อย,อำเภอบางบาล,อยุธยา,F
สะพานไทย,อำเภอบางบาล,อยุธยา,F
มหาพราหมณ์,อำเภอบางบาล,อยุธยา,F
กบเจา,อำเภอบางบาล,อยุธยา,F
บ้านคลัง,อำเภอบางบาล,อยุธยา,F
พระขาว,อำเภอบางบาล,อยุธยา,F
น้ำเต้า,อำเภอบางบาล,อยุธยา,F
ทางช้าง,อำเภอบางบาล,อยุธยา,F
วัดตะกู,อำเภอบางบาล,อยุธยา,F
บางหลวง,อำเภอบางบาล,อยุธยา,F
บางหลวงโดด,อำเภอบางบาล,อยุธยา,F
บางหัก,อำเภอบางบาล,อยุธยา,F
บางชะนี,อำเภอบางบาล,อยุธยา,F
บ้านกุ่ม,อำเภอบางบาล,อยุธยา,F
บ้านเลน,อำเภอบางปะอิน,อยุธยา,G
เชียงรากน้อย,อำเภอบางปะอิน,อยุธยา,G
บ้านโพ,อำเภอบางปะอิน,อยุธยา,F
บ้านกรด,อำเภอบางปะอิน,อยุธยา,F
บางกระสั้น,อำเภอบางปะอิน,อยุธยา,G
คลองจิก,อำเภอบางปะอิน,อยุธยา,G
บ้านหว้า,อำเภอบางปะอิน,อยุธยา,G
วัดยม,อำเภอบางปะอิน,อยุธยา,F
บางประแดง,อำเภอบางปะอิน,อยุธยา,F
สามเรือน,อำเภอบางปะอิน,อยุธยา,G
เกาะเกิด,อำเภอบางปะอิน,อยุธยา,F
บ้านพลับ,อำเภอบางปะอิน,อยุธยา,F
บ้านแป้ง,อำเภอบางปะอิน,อยุธยา,F
คุ้งลาน,อำเภอบางปะอิน,อยุธยา,G
ตลิ่งชัน,อำเภอบางปะอิน,อยุธยา,G
บ้านสร้าง,อำเภอบางปะอิน,อยุธยา,G
ตลาดเกรียบ,อำเภอบางปะอิน,อยุธยา,F
ขนอนหลวง,อำเภอบางปะอิน,อยุธยา,G
บางปะหัน,อำเภอบางปะหัน,อยุธยา,F
ขยาย,อำเภอบางปะหัน,อยุธยา,F
บางเดื่อ,อำเภอบางปะหัน,อยุธยา,F
เสาธง,อำเภอบางปะหัน,อยุธยา,F
ทางกลาง,อำเภอบางปะหัน,อยุธยา,F
บางเพลิง,อำเภอบางปะหัน,อยุธยา,F
หันสัง,อำเภอบางปะหัน,อยุธยา,F
บางนางร้า,อำเภอบางปะหัน,อยุธยา,F
ตานิม,อำเภอบางปะหัน,อยุธยา,F
ทับน้ำ,อำเภอบางปะหัน,อยุธยา,F
บ้านม้า,อำเภอบางปะหัน,อยุธยา,F
ขวัญเมือง,อำเภอบางปะหัน,อยุธยา,F
บ้านลี่,อำเภอบางปะหัน,อยุธยา,F
โพธิ์สามต้น,อำเภอบางปะหัน,อยุธยา,F
พุทเลา,อำเภอบางปะหัน,อยุธยา,F
ตาลเอน,อำเภอบางปะหัน,อยุธยา,F
บ้านขล้อ,อำเภอบางปะหัน,อยุธยา,F
ผักไห่,อำเภอผักไห่,อยุธยา,F
อมฤต,อำเภอผักไห่,อยุธยา,F
บ้านแค,อำเภอผักไห่,อยุธยา,F
ลาดน้ำเค็ม,อำเภอผักไห่,อยุธยา,F
ตาลาน,อำเภอผักไห่,อยุธยา,F
ท่าดินแดง,อำเภอผักไห่,อยุธยา,F
ดอนลาน,อำเภอผักไห่,อยุธยา,F
นาคู,อำเภอผักไห่,อยุธยา,F
กุฎี,อำเภอผักไห่,อยุธยา,F
ลำตะเคียน,อำเภอผักไห่,อยุธยา,F
โคกช้าง,อำเภอผักไห่,อยุธยา,F
จักราช,อำเภอผักไห่,อยุธยา,F
หนองน้ำใหญ่,อำเภอผักไห่,อยุธยา,F
ลาดชิด,อำเภอผักไห่,อยุธยา,F
หน้าโคก,อำเภอผักไห่,อยุธยา,F
บ้านใหญ่,อำเภอผักไห่,อยุธยา,F
ภาชี,อำเภอภาชี,อยุธยา,G
โคกม่วง,อำเภอภาชี,อยุธยา,G
ระโสม,อำเภอภาชี,อยุธยา,G
หนองน้ำใส,อำเภอภาชี,อยุธยา,G
ดอนหญ้านาง,อำเภอภาชี,อยุธยา,G
ไผ่ล้อม,อำเภอภาชี,อยุธยา,G
กระจิว,อำเภอภาชี,อยุธยา,G
พระแก้ว,อำเภอภาชี,อยุธยา,G
ลาดบัวหลวง,อำเภอลาดบัวหลวง,อยุธยา,F
หลักชัย,อำเภอลาดบัวหลวง,อยุธยา,F
สามเมือง,อำเภอลาดบัวหลวง,อยุธยา,F
พระยาบันลือ,อำเภอลาดบัวหลวง,อยุธยา,F
สิงหนาท,อำเภอลาดบัวหลวง,อยุธยา,F
คู้สลอด,อำเภอลาดบัวหลวง,อยุธยา,F
คลองพระยาบันลือ,อำเภอลาดบัวหลวง,อยุธยา,F
ลำตาเสา,อำเภอวังน้อย,อยุธยา,G
บ่อตาโล่,อำเภอวังน้อย,อยุธยา,G
วังน้อย,อำเภอวังน้อย,อยุธยา,G
ลำไทร,อำเภอวังน้อย,อยุธยา,G
สนับทึบ,อำเภอวังน้อย,อยุธยา,G
พยอม,อำเภอวังน้อย,อยุธยา,G
หันตะเภา,อำเภอวังน้อย,อยุธยา,G
วังจุฬา,อำเภอวังน้อย,อยุธยา,G
ข้าวงาม,อำเภอวังน้อย,อยุธยา,G
ชะแมบ,อำเภอวังน้อย,อยุธยา,G
เสนา,อำเภอเสนา,อยุธยา,F
บ้านแพน,อำเภอเสนา,อยุธยา,F
เจ้าเจ็ด,อำเภอเสนา,อยุธยา,F
สามกอ,อำเภอเสนา,อยุธยา,F
บางนมโค,อำเภอเสนา,อยุธยา,F
หัวเวียง,อำเภอเสนา,อยุธยา,F
มารวิชัย,อำเภอเสนา,อยุธยา,F
บ้านโพธิ์,อำเภอเสนา,อยุธยา,F
รางจรเข้,อำเภอเสนา,อยุธยา,F
บ้านกระทุ่ม,อำเภอเสนา,อยุธยา,F
บ้านแถว,อำเภอเสนา,อยุธยา,F
ชายนา,อำเภอเสนา,อยุธยา,F
สามตุ่ม,อำเภอเสนา,อยุธยา,F
ลาดงา,อำเภอเสนา,อยุธยา,F
ดอนทอง,อำเภอเสนา,อยุธยา,F
บ้านหลวง,อำเภอเสนา,อยุธยา,F
เจ้าเสด็จ,อำเภอเสนา,อยุธยา,F
บางซ้าย,อำเภอบางซ้าย,อยุธยา,F
แก้วฟ้า,อำเภอบางซ้าย,อยุธยา,F
เต่าเล่า,อำเภอบางซ้าย,อยุธยา,F
ปลายกลัด,อำเภอบางซ้าย,อยุธยา,F
เทพมงคล,อำเภอบางซ้าย,อยุธยา,F
วังพัฒนา,อำเภอบางซ้าย,อยุธยา,F
คานหาม,อำเภออุทัย,อยุธยา,G
บ้านช้าง,อำเภออุทัย,อยุธยา,G
สามบัณฑิต,อำเภออุทัย,อยุธยา,G
บ้านหีบ,อำเภออุทัย,อยุธยา,G
หนองไม้ซุง,อำเภออุทัย,อยุธยา,G
อุทัย,อำเภออุทัย,อยุธยา,G
เสนา,อำเภออุทัย,อยุธยา,G
หนองน้ำส้ม,อำเภออุทัย,อยุธยา,G
โพสาวหาญ,อำเภออุทัย,อยุธยา,G
ธนู,อำเภออุทัย,อยุธยา,G
ข้าวเม่า,อำเภออุทัย,อยุธยา,G
หัวไผ่,อำเภอมหาราช,อยุธยา,F
กะทุ่ม,อำเภอมหาราช,อยุธยา,F
มหาราช,อำเภอมหาราช,อยุธยา,F
น้ำเต้า,อำเภอมหาราช,อยุธยา,F
บางนา,อำเภอมหาราช,อยุธยา,F
โรงช้าง,อำเภอมหาราช,อยุธยา,F
เจ้าปลุก,อำเภอมหาราช,อยุธยา,F
พิตเพียน,อำเภอมหาราช,อยุธยา,F
บ้านนา,อำเภอมหาราช,อยุธยา,F
บ้านขวาง,อำเภอมหาราช,อยุธยา,F
ท่าตอ,อำเภอมหาราช,อยุธยา,F
บ้านใหม่,อำเภอมหาราช,อยุธยา,F
บ้านแพรก,อำเภอบ้านแพรก,อยุธยา,G
บ้านใหม่,อำเภอบ้านแพรก,อยุธยา,G
สำพะเนียง,อำเภอบ้านแพรก,อยุธยา,G
คลองน้อย,อำเภอบ้านแพรก,อยุธยา,G
สองห้อง,อำเภอบ้านแพรก,อยุธยา,G
บางปลาสร้อย,อำเภอเมืองชลบุรี,ชลบุรี,E
มะขามหย่ง,อำเภอเมืองชลบุรี,ชลบุรี,E
บ้านโขด,อำเภอเมืองชลบุรี,ชลบุรี,E
แสนสุข,อำเภอเมืองชลบุรี,ชลบุรี,E
บ้านสวน,อำเภอเมืองชลบุรี,ชลบุรี,E
หนองรี,อำเภอเมืองชลบุรี,ชลบุรี,E
นาป่า,อำเภอเมืองชลบุรี,ชลบุรี,E
หนองข้างคอก,อำเภอเมืองชลบุรี,ชลบุรี,E
ดอนหัวฬ่อ,อำเภอเมืองชลบุรี,ชลบุรี,E
หนองไม้แดง,อำเภอเมืองชลบุรี,ชลบุรี,E
บางทราย,อำเภอเมืองชลบุรี,ชลบุรี,E
คลองตำหรุ,อำเภอเมืองชลบุรี,ชลบุรี,E
เหมือง,อำเภอเมืองชลบุรี,ชลบุรี,E
บ้านปึก,อำเภอเมืองชลบุรี,ชลบุรี,E
ห้วยกะปิ,อำเภอเมืองชลบุรี,ชลบุรี,E
เสม็ด,อำเภอเมืองชลบุรี,ชลบุรี,E
อ่างศิลา,อำเภอเมืองชลบุรี,ชลบุรี,E
สำนักบก,อำเภอเมืองชลบุรี,ชลบุรี,E
เกาะจันทร์,อำเภอเกาะจันทร์,ชลบุรี,E
ท่าบุญมี,อำเภอเกาะจันทร์,ชลบุรี,E
บ่อทอง,อำเภอบ่อทอง,ชลบุรี,J
วัดสุวรรณ,อำเภอบ่อทอง,ชลบุรี,J
บ่อกวางทอง,อำเภอบ่อทอง,ชลบุรี,J
ธาตุทอง,อำเภอบ่อทอง,ชลบุรี,J
เกษตรสุวรรณ,อำเภอบ่อทอง,ชลบุรี,J
พลวงทอง,อำเภอบ่อทอง,ชลบุรี,J
บางละมุง,อำเภอบางละมุง,ชลบุรี,H
หนองปรือ,อำเภอบางละมุง,ชลบุรี,H
หนองปลาไหล,อำเภอบางละมุง,ชลบุรี,H
โป่ง,อำเภอบางละมุง,ชลบุรี,H
เขาไม้แก้ว,อำเภอบางละมุง,ชลบุรี,H
ห้วยใหญ่,อำเภอบางละมุง,ชลบุรี,H
ตะเคียนเตี้ย,อำเภอบางละมุง,ชลบุรี,H
นาเกลือ,อำเภอบางละมุง,ชลบุรี,H
บ้านบึง,อำเภอบ้านบึง,ชลบุรี,E
คลองกิ่ว,อำเภอบ้านบึง,ชลบุรี,E
มาบไผ่,อำเภอบ้านบึง,ชลบุรี,E
หนองซ้ำซาก,อำเภอบ้านบึง,ชลบุรี,E
หนองบอนแดง,อำเภอบ้านบึง,ชลบุรี,E
หนองชาก,อำเภอบ้านบึง,ชลบุรี,E
หนองอิรุณ,อำเภอบ้านบึง,ชลบุรี,E
หนองไผ่แก้ว,อำเภอบ้านบึง,ชลบุรี,E
พนัสนิคม,อำเภอพนัสนิคม,ชลบุรี,E
หน้าพระธาตุ,อำเภอพนัสนิคม,ชลบุรี,E
วัดหลวง,อำเภอพนัสนิคม,ชลบุรี,E
บ้านเซิด,อำเภอพนัสนิคม,ชลบุรี,E
นาเริก,อำเภอพนัสนิคม,ชลบุรี,E
หมอนนาง,อำเภอพนัสนิคม,ชลบุรี,E
สระสี่เหลี่ยม,อำเภอพนัสนิคม,ชลบุรี,E
วัดโบสถ์,อำเภอพนัสนิคม,ชลบุรี,E
กุฎโง้ง,อำเภอพนัสนิคม,ชลบุรี,E
หัวถนน,อำเภอพนัสนิคม,ชลบุรี,E
ท่าข้าม,อำเภอพนัสนิคม,ชลบุรี,E
หนองปรือ,อำเภอพนัสนิคม,ชลบุรี,E
หนองขยาด,อำเภอพนัสนิคม,ชลบุรี,E
ทุ่งขวาง,อำเภอพนัสนิคม,ชลบุรี,E
หนองเหียง,อำเภอพนัสนิคม,ชลบุรี,E
นาวังหิน,อำเภอพนัสนิคม,ชลบุรี,E
บ้านช้าง,อำเภอพนัสนิคม,ชลบุรี,E
โคกเพลาะ,อำเภอพนัสนิคม,ชลบุรี,E
ไร่หลักทอง,อำเภอพนัสนิคม,ชลบุรี,E
นามะตูม,อำเภอพนัสนิคม,ชลบุรี,E
พานทอง,อำเภอพานทอง,ชลบุรี,E
หนองตำลึง,อำเภอพานทอง,ชลบุรี,E
มาบโป่ง,อำเภอพานทอง,ชลบุรี,E
หนองกะขะ,อำเภอพานทอง,ชลบุรี,E
หนองหงษ์,อำเภอพานทอง,ชลบุรี,E
โคกขี้หนอน,อำเภอพานทอง,ชลบุรี,E
บ้านเก่า,อำเภอพานทอง,ชลบุรี,E
หน้าประดู่,อำเภอพานทอง,ชลบุรี,E
บางนาง,อำเภอพานทอง,ชลบุรี,E
เกาะลอย,อำเภอพานทอง,ชลบุรี,E
บางหัก,อำเภอพานทอง,ชลบุรี,E
ศรีราชา,อำเภอศรีราชา,ชลบุรี,H
สุรศักดิ์,อำเภอศรีราชา,ชลบุรี,H
ทุ่งสุขลา,อำเภอศรีราชา,ชลบุรี,H
บึง,อำเภอศรีราชา,ชลบุรี,H
หนองขาม,อำเภอศรีราชา,ชลบุรี,H
เขาคันทรง,อำเภอศรีราชา,ชลบุรี,H
บางพระ,อำเภอศรีราชา,ชลบุรี,H
บ่อวิน,อำเภอศรีราชา,ชลบุรี,H
สัตหีบ,อำเภอสัตหีบ,ชลบุรี,H
นาจอมเทียน,อำเภอสัตหีบ,ชลบุรี,H
พลูตาหลวง,อำเภอสัตหีบ,ชลบุรี,H
บางเสร่,อำเภอสัตหีบ,ชลบุรี,H
แสมสาร,อำเภอสัตหีบ,ชลบุรี,H
หนองใหญ่,อำเภอหนองใหญ่,ชลบุรี,J
คลองพลู,อำเภอหนองใหญ่,ชลบุรี,J
หนองเสือช้าง,อำเภอหนองใหญ่,ชลบุรี,J
ห้างสูง,อำเภอหนองใหญ่,ชลบุรี,J
เขาซก,อำเภอหนองใหญ่,ชลบุรี,J